,Date,Low,High,Close,Open
5254,2018-11-16,106.8,108.88,108.29,107.08
5253,2018-11-15,103.91,107.8,107.28,104.99
5252,2018-11-14,104.47,108.26,104.97,108.1
5251,2018-11-13,106.64,108.74,106.94,107.55
5250,2018-11-12,106.1,109.96,106.87,109.42
5249,2018-11-09,108.76,111.45,109.57,110.85
5248,2018-11-08,110.91,112.21,111.75,111.8
5247,2018-11-07,109.4,112.24,111.96,109.44
5246,2018-11-06,106.28,108.84,107.72,107.38
5245,2018-11-05,105.9,107.74,107.51,106.37
5244,2018-11-02,104.975,107.32,106.16,106.48
5243,2018-11-01,105.53,107.32,105.92,107.05
5242,2018-10-31,105.39,108.14,106.81,105.435
5241,2018-10-30,100.11,104.38,103.73,103.66
5240,2018-10-29,101.63,108.7,103.85,108.105
5239,2018-10-26,104.76,108.75,106.96,105.69
5238,2018-10-25,106.15,109.27,108.3,106.55
5237,2018-10-24,101.5901,108.49,102.32,108.41
5236,2018-10-23,105.11,108.97,108.1,107.77
5235,2018-10-22,108.24,110.54,109.63,109.32
5234,2018-10-19,108.21,110.86,108.66,108.93
5233,2018-10-18,107.83,110.53,108.5,110.1
5232,2018-10-17,109.5482,111.81,110.71,111.68
5231,2018-10-16,108.95,111.41,111.0,109.54
5230,2018-10-15,106.9468,109.48,107.6,108.91
5229,2018-10-12,107.12,111.24,109.57,109.01
5228,2018-10-11,104.2,108.93,105.91,105.35
5227,2018-10-10,105.79,111.5,106.16,111.24
5226,2018-10-09,110.8,113.08,112.26,111.14
5225,2018-10-08,109.34,112.03,110.85,111.66
5224,2018-10-05,110.64,113.17,112.13,112.63
5223,2018-10-04,111.63,114.7588,112.79,114.61
5222,2018-10-03,114.93,116.18,115.17,115.42
5221,2018-10-02,114.44,115.84,115.15,115.3
5220,2018-10-01,114.73,115.68,115.61,114.75
5219,2018-09-28,113.68,114.57,114.37,114.19
5218,2018-09-27,114.2,114.91,114.41,114.78
5217,2018-09-26,113.74,115.055,113.98,114.47
5216,2018-09-25,113.75,115.1,114.45,114.8
5215,2018-09-24,112.2175,114.9,114.67,113.03
5214,2018-09-21,113.51,115.29,114.26,114.0
5213,2018-09-20,111.93,113.8,113.57,112.28
5212,2018-09-19,111.035,113.32,111.7,113.05
5211,2018-09-18,111.72,113.695,113.21,112.19
5210,2018-09-17,111.86,113.7,112.14,113.69
5209,2018-09-14,112.44,113.73,113.37,113.36
5208,2018-09-13,112.12,113.725,112.91,112.12
5207,2018-09-12,110.51,111.85,111.71,111.43
5206,2018-09-11,108.89,111.59,111.24,108.9
5205,2018-09-10,108.36,109.64,109.38,108.84
5204,2018-09-07,107.23,108.7248,108.21,108.23
5203,2018-09-06,107.51,108.99,108.74,108.25
5202,2018-09-05,108.1,111.42,108.49,111.01
5201,2018-09-04,110.22,111.955,111.71,110.85
5200,2018-08-31,111.515,112.777,112.33,111.685
5199,2018-08-30,111.44,112.61,111.95,111.67
5198,2018-08-29,110.27,112.03,112.02,110.45
5197,2018-08-28,109.79,110.5,110.26,109.94
5196,2018-08-27,108.51,109.64,109.6,109.27
5195,2018-08-24,107.56,108.56,108.4,107.67
5194,2018-08-23,106.87,108.18,107.56,107.15
5193,2018-08-22,105.78,107.34,107.06,105.85
5192,2018-08-21,105.85,107.35,105.98,106.92
5191,2018-08-20,106.48,107.9,106.87,107.51
5190,2018-08-17,106.69,107.9,107.58,107.36
5189,2018-08-16,107.3,108.86,107.64,108.3
5188,2018-08-15,106.82,108.985,107.66,108.49
5187,2018-08-14,108.04,109.75,109.56,108.56
5186,2018-08-13,108.1,109.58,108.21,109.24
5185,2018-08-10,108.38,109.69,109.0,109.42
5184,2018-08-09,109.6,110.16,109.67,109.71
5183,2018-08-08,108.7599,109.75,109.49,109.33
5182,2018-08-07,108.17,109.1,108.88,108.56
5181,2018-08-06,107.559,108.42,108.13,108.12
5180,2018-08-03,106.82,108.05,108.04,107.8
5179,2018-08-02,104.84,108.09,107.57,105.4
5178,2018-08-01,105.42,106.446,106.28,106.03
5177,2018-07-31,105.38,106.72,106.08,106.49
5176,2018-07-30,104.76,107.53,105.37,107.19
5175,2018-07-27,106.14,110.18,107.68,110.18
5174,2018-07-26,109.5,111.0,109.62,110.74
5173,2018-07-25,107.6,111.15,110.83,107.955
5172,2018-07-24,107.26,108.82,107.66,108.57
5171,2018-07-23,106.13,108.14,107.97,106.3
5170,2018-07-20,106.08,108.2,106.27,108.08
5169,2018-07-19,103.89,105.31,104.4,104.93
5168,2018-07-18,104.715,106.05,105.12,105.94
5167,2018-07-17,104.32,106.5,105.95,104.61
5166,2018-07-16,104.515,105.82,104.91,105.4
5165,2018-07-13,104.09,105.6,105.43,104.37
5164,2018-07-12,102.73,104.41,104.19,102.77
5163,2018-07-11,101.1,102.34,101.98,101.15
5162,2018-07-10,101.86,102.51,102.12,102.0
5161,2018-07-09,101.251,102.25,101.85,101.6452
5160,2018-07-06,99.67,101.43,101.16,99.885
5159,2018-07-05,99.0299,99.92,99.76,99.5
5158,2018-07-03,98.94,100.63,99.05,100.48
5157,2018-07-02,98.0,100.06,100.01,98.1
5156,2018-06-29,98.33,99.91,98.61,98.93
5155,2018-06-28,97.26,99.11,98.63,97.38
5154,2018-06-27,97.4,100.02,97.54,99.58
5153,2018-06-26,98.75,100.08,99.08,98.82
5152,2018-06-25,97.3,100.11,98.39,100.0
5151,2018-06-22,99.625,100.77,100.41,100.41
5150,2018-06-21,100.88,102.46,101.14,102.075
5149,2018-06-20,101.12,102.52,101.87,101.37
5148,2018-06-19,99.5,101.0,100.86,99.65
5147,2018-06-18,99.42,101.11,100.86,100.01
5146,2018-06-15,100.07,101.53,100.13,101.51
5145,2018-06-14,101.0,102.03,101.42,101.65
5144,2018-06-13,100.56,102.01,100.85,101.72
5143,2018-06-12,100.75,101.4493,101.31,101.1
5142,2018-06-11,100.67,101.59,101.05,101.37
5141,2018-06-08,100.54,101.95,101.63,101.0924
5140,2018-06-07,100.38,102.69,100.88,102.65
